order_item_id,order_id,product_id,quantity,unit_price
1,1,1,1,1299.99
2,1,2,1,29.99
3,2,5,1,399.99
4,2,2,1,29.99
5,3,2,1,29.99
6,3,8,2,12.99
7,3,9,5,5.99
8,3,15,2,9.99
9,4,6,1,349.99
10,5,7,1,89.99
11,6,5,1,399.99
12,6,4,1,199.99
13,6,11,1,79.99
14,7,4,1,199.99
15,8,11,1,79.99
16,8,3,1,15.99
17,9,1,1,1299.99
18,10,2,1,29.99
19,10,12,1,19.99
20,10,10,1,45.99
21,11,5,1,399.99
22,12,6,1,349.99
23,13,10,1,45.99
24,14,11,1,79.99
25,15,4,1,199.99
26,16,1,1,1299.99
27,16,2,1,29.99
28,17,2,1,29.99
29,18,6,1,349.99
30,19,8,3,12.99
31,19,9,5,5.99
32,19,15,2,9.99
33,20,7,1,89.99
